First,Last,First Last,BIS_Number
JohnRyan,Murphy,JohnRyan Murphy,10346
Domingo,Santana,Domingo Santana,10348
Wilfredo,Tovar,Wilfredo Tovar,10416
Jon,Singleton,Jon Singleton,10441
Adeiny,Hechavarria,Adeiny Hechavarria,10459
Enrique,Hernandez,Enrique Hernandez,10472
Derek,Dietrich,Derek Dietrich,10542
Cesar,Hernandez,Cesar Hernandez,10556
Joey,Terdoslavich,Joey Terdoslavich,10593
Bryce,Brentz,Bryce Brentz,10607
Zach,Walters,Zach Walters,10622
Rob,Brantly,Rob Brantly,10655
Mike,Olt,Mike Olt,10698
Arismendy,Alcantara,Arismendy Alcantara,10711
Corey,Dickerson,Corey Dickerson,10762
Lane,Adams,Lane Adams,10767
Jurickson,Profar,Jurickson Profar,10815
Jedd,Gyorko,Jedd Gyorko,10816
Todd,Cunningham,Todd Cunningham,10822
Andrelton,Simmons,Andrelton Simmons,10847
Adam,Duvall,Adam Duvall,10950
Greg,Garcia,Greg Garcia,10951
Phil,Gosselin,Phil Gosselin,10953
Evan,Gattis,Evan Gattis,11003
Kevin,Kiermaier,Kevin Kiermaier,11038
Christian,Colon,Christian Colon,11145
Cameron,Rupp,Cameron Rupp,11146
Tommy,Medica,Tommy Medica,11147
Josh,Rutledge,Josh Rutledge,11167
Kole,Calhoun,Kole Calhoun,11200
Adam,Eaton,Adam Eaton,11205
Andy,Wilkins,Andy Wilkins,11251
Matt,Szczur,Matt Szczur,11255
Jonathan,Schoop,Jonathan Schoop,11265
Aaron,Altherr,Aaron Altherr,11270
Bryan,Holaday,Bryan Holaday,11287
Jake,Marisnick,Jake Marisnick,11339
Jesus,Aguilar,Jesus Aguilar,11342
Yasmani,Grandal,Yasmani Grandal,11368
Michael,Choice,Michael Choice,11376
Matt,denDekker,Matt denDekker,11385
Tyler,Holt,Tyler Holt,11391
Gary,Brown,Gary Brown,11464
Christian,Yelich,Christian Yelich,11477
MichaelA.,Taylor(Was),MichaelA. Taylor(Was),11489
Manny,Machado,Manny Machado,11493
Bryce,Harper,Bryce Harper,11579
Carlos,Sanchez,Carlos Sanchez,11602
Garin,Cecchini,Garin Cecchini,11608
Nick,Castellanos,Nick Castellanos,11737
J.T.,Realmuto,J.T. Realmuto,11739
Stefen,Romero,Stefen Romero,11746
Kyle,Parker,Kyle Parker,11763
Jason,Rogers,Jason Rogers,11773
Leonys,Martin,Leonys Martin,11846
Steven,Moya,Steven Moya,11854
Joc,Pederson,Joc Pederson,11899
Joe,Panik,Joe Panik,11936
Cody,Asche,Cody Asche,11997
Kennys,Vargas,Kennys Vargas,12101
Nick,Ahmed,Nick Ahmed,12147
Xander,Bogaerts,Xander Bogaerts,12161
Maikel,Franco,Maikel Franco,12179
Rougned,Odor,Rougned Odor,12282
Cory,Spangenberg,Cory Spangenberg,12294
Jace,Peterson,Jace Peterson,12325
Tommy,LaStella,Tommy LaStella,12371
Ryan,Rua,Ryan Rua,12409
Kevin,Pillar,Kevin Pillar,12434
Curt,Casali,Curt Casali,12510
Kolten,Wong,Kolten Wong,12532
Marcus,Semien,Marcus Semien,12533
C.J.,Cron,C.J. Cron,12546
Eugenio,Suarez,Eugenio Suarez,12552
Rafael,Lopez,Rafael Lopez,12606
Billy,Burns,Billy Burns,12701
Tyler,Collins,Tyler Collins,12723
Brad,Miller,Brad Miller,12775
Dalton,Pompey,Dalton Pompey,12797
George,Springer,George Springer,12856
James,McCann,James McCann,12859
Anthony,Rendon,Anthony Rendon,12861
Gregory,Polanco,Gregory Polanco,12907
Javier,Baez,Javier Baez,12979
Jackie,Bradley,Jackie Bradley,12984
Munenori,Kawasaki,Munenori Kawasaki,13047
Chris,Colabello,Chris Colabello,13051
Norichika,Aoki,Norichika Aoki,13075
Yoenis,Cespedes,Yoenis Cespedes,13110
Andrew,Susac,Andrew Susac,13132
Jorge,Polanco,Jorge Polanco,13152
Luis,Sardinas,Luis Sardinas,13153
